id,name,description
2492.0,لوران گونل,لوران گونل، نویسنده و دانشمند فرانسوی است. او متخصص علوم انسانی است و در دانشگاه سوربون تحصیل کرده است. گونل تحصیلات خود را در فرانسه و ایالات متحده گذراند. کتاب های این نویسنده نشان دهنده ی علاقه ی او به فلسفه، روانشناسی و خودپروری هستند. گونل علاوه بر نوشتن کتاب، استاد دانشگاه کلرمونت-فراند نیز هست.
2512.0,داود نوابی,داود نوابی مترجم ایرانی متولد سال 1313 می باشد.
32055.0,آناهیتا مافی,آناهیتا مافی نویسنده ایرانی می باشد.
33688.0,محمد حاصلی قلاتی,محمد حاصلی قلاتی متولد سال 1370، نویسنده ایرانی می باشد.
11326.0,نسرین قربانی,من، نسرین قربانی، متولد 1337، تهران، فعالیتم را سال 1382 با روزنامه ی اعتماد شروع کردم و به مدت 4 سال ادامه دادم. در زمینه ی داستان و مقاله. سال 83، برنده ی بهترین مقاله از روزنامه ی همشهری شدم و تا چند سالی هم با این روزنامه همکاری کردم. همان سال، یعنی، 83، کاندید داستان اصفهان شدم. سال 84 اولین کتابم که سه داستان بلند است، چاپ شد به نام: خانه ی پدری ( نشر: همایش) سال 85 دومین کارم که مجموعه داستان بود، چاپ شد، با همان نشر. سال 87 رمان فخرالزمان چاپ شد. سال 91 رمان: نیمه ی ناتمام را نشر: آموت چاپ کرد. سال 93 رمان: ویولا را نشر: برکه ی خورشید چاپ کرد. مردی که دوست می داشتم، سال 94، توسط نشر: کتابسرای تندیس چاپ شد. همان سال رمان: بادام های تلخ را نشر: برکه ی خورشید چاپ کرد و سال 95 مجموعه داستان: انگار صدایم کرده بودی را نشر: ارادمان چاپ کردو در حال حاضر هم یک داستان بلند در ارشاد دارم که اگر سالم بیرون بیاید، قرار است نشر: نفیر آن را چاپ کند. پراکنده با روزنامه های: ابتکار، فرهیختگان و چند روزنامه ی دیگر هم همکاری داشته ام.
7169.0,علیرضا بهشت آیین,علیرضا بهشت آیین مشاور اقتصادی و سرمایه گذاری در حوزه املاک، دانش آموخته MBA و DBA، دارای ۱۵ سال تجربه در صنعت ساختمان متولد سال 1353 می باشد.
11494.0,ابوالقاسم فیض آبادی,ابوالقاسم فیض آبادی (متولد ۱۳۳۳ - تهران) نویسنده داستان‌های کودک و نوجوان ایرانی و عضو انجمن نویسندگان کودک و نوجوان می‌باشد؛ و تا کنون بیست و سه جلد کتاب از او به چاپ رسیده است. او در یادداشتی بر زندگی خود می‌نویسد: «در سال ۱۳۳۳ در منطقهٔ نظام آباد تهران به دنیا آمدم. دوران کودکی‌ام در آن‌جا گذشت و نوجوانی و دورهٔ دبیرستان را در نارمک طی کردم. در سال ۵۵ در رشتهٔ ریاضیات کاربردی از مدرسه عالی ریاضیات و مدیریت اقتصادی کرج فارغ‌التحصیل شدم. مدت نزدیک به چهل سال است در ارتباط با کتاب؛ اعم از آماده‌سازی، تولید و نشر هستم.»
24737.0,آلی کنن,آلی کنن (متولد 1975) نویسنده انگلیسی رمان های ماجراجویی برای کودکان و نوجوانان است. او در سامرست متولد شد و در مزرعه ای در منطقه Exmoor در جنوب غربی انگلیس بزرگ شد. وی تحصیلات خود را در باستان شناسی و تاریخ در دانشگاه بیرمنگام گذراند.
6265.0,شهره نور صالحی,
27528.0,مایکل آر سولومون,مایکل آر. سولومون استاد بازاریابی در دانشکده تجارت Haub در دانشگاه سنت جوزف است و در فیلادلفیا، پنسیلوانیا اقامت دارد. وی به مشتریان جهانی در صنایع پیشرو در مورد استراتژی های بازاریابی توصیه می کند تا مشتری محورتر شوند.
6080.0,کامبیز حیدرزاده,کامبیز حیدرزاده متولد سال 1354، نویسنده و مترجم ایرانی می باشد.
33170.0,بلانکا الوارز,بلانکا آلوارز گونزالس روزنامه نگار، نویسنده و شاعر اسپانیایی بود. آثار او شامل شعر، رمان و مقاله و همچنین ادبیات کودکان و نوجوانان بود.
33171.0,آزیتا ایزدی,آزیتا ایزدی مترجم ایرانی متولد سال 1331 می باشد.
3259.0,ویل دورانت,ویلیام جیمز دورانت، فیلسوف، تاریخنگار و نویسندهٔ آمریکایی بود.مهم ترین اثر او تاریخ تمدن، مجموعه کتابی ۱۱ جلدی است که با همکاری آریل دورانت، همسرش نوشته است. وی در این کتاب توانسته است با استفاده از آثار مورخان دیگر (از هرودوت تا آرنولد توین بی)، که از ابتدای تاریخ مکتوب بشر تا کنون زیسته اند، مکتب نوینی از تاریخ نگاری را به وجود آورد.برخلاف دیگر تاریخ نگاران، که تنها تمرکزشان بر روی وقایع تاریخی و سیر تمدن بشری بود، وی در اثر خود به عوامل تمدن ساز در طول تاریخ نیز توجه می کند. در این باره نقل قولی دارد که چنین است: «تمدن رودی است با دو ساحل»∗. این نقل قول به طور ضمنی به این مسئله اشاره دارد که تاریخ نگاران اغلب نهایت توجه و دقت خود را صرف رودخانهٔ در جریان تاریخ نموده اند که معمولا پرآشوب و پرهیاهوست و اجازهٔ برداشت ها و تفاسیر صحیح را نمی دهد. در مقابل، او دیدگاه دیگری را مطرح می کند که در آن حواشی تاریخ و تمدن (ساحل ها) می توانند به اندازهٔ خود متن تاریخ مهم باشند. به نظر او، همهٔ مردمانی که در طول تاریخ خانه و مجسمه ساختند و شعر سراییده اند هم در شکل گیری تمدن نقش داشتند. ویل دورانت در کتاب درس هایی از تاریخ، که در سال های آخر زندگی خود نوشت، می گوید که تاریخ ملت ها را باید با توجه به پدیده های علمی جدید نوشت.
3262.0,عباس زریاب خویی,عباس زریاب خویی (۲۰ مرداد ۱۲۹۸، خوی[۲]‏ – ۱۴ بهمن ۱۳۷۳، تهران)، مورخ، ادیب، نسخه‌شناس، نویسنده و مترجم ایرانی بود.پس از تحصیلات مقدماتی در خوی و حوزوی در قم، توسط قوای روس به تهران تبعید شد. در تهران کار در کتابخانهٔ مجلس شورای ملّی او را با سید حسن تقی‌زاده آشنا کرد که بعدها با معرفی او بورس مطالعاتی بنیاد هومبولت در اختیارش قرار گرفت. زریاب خویی با استفاده از این بورس در سال ۱۳۳۹ از دانشگاه یوهانس گوتنبرگ شهر ماینز در رشته‌های تاریخ و فلسفه درجهٔ دکتری گرفت.زریاب خویی از سال ۱۳۴۵ استاد تاریخ در دانشکدهٔ ادبیات دانشگاه تهران بود و در رشته‌های ادبیات فارسی، ادبیات عرب، فلسفه، زبان‌شناسی و معارف اسلامی تدریس می‌کرد. او صاحب تألیفاتی مانند اطلس تاریخی ایران، تاریخ ساسانیان، و سیرت رسول‌الله و ترجمه‌هایی مانند تاریخ فلسفه و لذات فلسفه است. همچنین او در دانشنامه‌هایی مانند دائرةالمعارف فارسی دانشنامهٔ جهان اسلام، دائرةالمعارف بزرگ اسلامی و دانشنامهٔ ایران مدخل‌های بسیاری را نوشته‌است.
14160.0,بئاتریس فوربز منز,بئاتریس فوربس منز، مورخ آمریکایی در خاورمیانه و آسیای میانه است که در عشایر و سلسله تیموری تخصص دارد. وی هم اکنون به عنوان استاد تاریخ در دانشگاه تافتز فعالیت می کند. کتاب او در سال 1989 ظهور و حکومت تامرلان یکی از معتبرترین گزارش های دوران حرفه ای فاتح تیمور محسوب می شود. وی در سال 1970 لیسانس خود را از دانشگاه هاروارد و فوق لیسانس در مطالعات خاورمیانه از دانشگاه میشیگان در سال 1974 دریافت کرد، سپس برای دکترا در مطالعات آسیایی و آلتائیک داخلی که در سال 1983 دریافت کرد به هاروارد بازگشت و همکارش در انجمن تاریخی و از سال 2014، رئیس انستیتوی مطالعات ایران ماساچوست است.
40355.0,منصور صفت گل,منصور صفت‌گُل نویسنده، مترجم و استاد تمام تاریخ دانشگاه تهران است که در سال ۱۳۴۰ خورشیدی در زابل متولد شد. وی مدرک کارشناسی تاریخ خود را از دانشگاه فردوسی، مدرک کارشناسی ارشدش را از دانشگاه تربیت مدرس، و دکترایش را از دانشگاه تهران اخذ کرده‌است.کتاب وی تحت عنوان اطلس تاریخ بنادر و دریانوردی ایران (همراه با محمدباقر وثوقی) در نهمین دورهٔ جشنواره فارابی حائز رتبهٔ برتر شد.وی در حوزهٔ تاریخ صفویه پژوهش و تدریس می‌کند.
29575.0,صادق عاشورپور,صادق عاشورپور، متولد ۱۳۳۲ همدان.از شانزده سالگی پا به دنیای تئاتر گذاشت و هنوز و هنوز مینویسد.مجموعه هفت جلدی نمایش‌های ایرانی و مجموعه چهار جلدی بازیهای محلی و بسیار نمایشنامه، کمی است از کارنامه نمایشی او.
30637.0,کریستین سیکستا راینهارت,
7186.0,فریدریش شیلر,یوهان کریستوف فریدریش فون شیلر (به آلمانی: Johann Christoph Friedrich von Schiller) (زادهٔ ۱۰ نوامبر ۱۷۵۹ در مارباخ آم نکا - درگذشتهٔ ۹ مهٔ ۱۸۰۵ در وایمار) شاعر، نمایشنامه‌نویس، فیلسوف، پزشک و مورخ آلمانی بود.او نامدارترین نمایشنامه‌نویس آلمانی به‌شمار می‌رود و در کنار گوته، به‌عنوان چهرهٔ اساسیِ کلاسیک وایمار شناخته شده‌است. بسیاری از نمایشنامه‌های او به‌عنوان قطعهٔ تئاترهای استاندارد در سرزمین‌های آلمانی‌زبان مشهور شده‌اند و اشعار افسانه‌ای (Ballads) وی از محبوبترین شعرهای آلمانی‌اند.
34062.0,سارا رحمانی,سارا رحمانی مترجم ایرانی متولد سال 1364 می باشد.
16219.0,یوسف اعتصامی,
18177.0,کریم فیضی,کریم فیضی در سال ۱۹۸۰ میلادی (= ۱۳۵۸ شمسی) یک سال بعد از انقلاب اسلامی در تبریز به دنیا آمد. در آن سال تبریز درگیر شورش هایی بود که کمتر از شورش های تهران به عنوان مرکز ایران و قلب انقلاب نبود. تولد او مقارن با روزی بود که سید محمدعلی قاضی طباطبایی - از چهره های نامدار انقلابی - در تبریز ترور شد و به عنوان اولین کشته عبادتگاه (= «شهید محراب») معروف شد. بنابراین می توان حدس زد که کودکی اش در موجی از هیاهو و درگیری و ناآرامی سپری شده باشد.
15365.0,محسن تمدنی نژاد,
5779.0,مژگان شیخی,مژگان شيخی متولد سال 1341 و دارای مدرک مترجمی زبان انگليسی است. وی از سال 63 كار نوشتن را با داستان «بلبل نوک طلا و باغ آرزوها» آغاز كرد. شیخی هم در زمينه ادبيات كودكان و هم ادبيات بزرگسالان فعاليت داشته است و تاكنون بيش از 150 عنوان از كتاب‌هايش به چاپ رسيده است كه برخی از آنها برای فيلم‌های سينمايی قرارگرفته‌اند. از آثار او در زمينه ادبيات كودک می‌توان به «زندگی حضرت يوسف»، «تابستان و غاز سفيد»، «دستی برای دوستی» و «گلی در سرزمين زمستان‌ها» و «365 قصه برای 365 روز سال» اشاره کرد.
52251.0,مهرداد نوری مجیری,مهرداد نوری مجیری ؛ نویسنده ایرانی متولد ۱۳۵۱‏ می باشد.
2204.0,جلال الدین محمد بلخی(مولانا),جلال الدین محمد بلخی معروف به مولانا، مولوی و رومی، زاده ی 15 مهر 586 و درگذشته ی 4 دی 652 هجری شمسی، از مشهورترین و تأثیرگذارترین شاعران ایرانی است.جلال الدین محمد بلخی در بلخ زاده شد. پدر او مولانا محمد بن حسین، خطیبی معروف به بهاءالدین ولد و سلطان العلما، از بزرگان صوفیه و مردی عارف بود و نسبت خرقه ی او به احمد غزالی می رسید. وی در عرفان و سلوک سابقه ای دیرین داشت و چون اهل بحث و جدال نبود و دانش و معرفت حقیقی را در سلوک باطنی می دانست نه در مباحثات و مناقشات کلامی و لفظی، پرچمداران کلام و جدال با او مخالفت می کردند؛ از جمله فخرالدین رازی که استاد سلطان محمد خوارزمشاه بود و بیش از دیگران شاه را علیه او برانگیخت. سلطان العلما احتمالا در سال 610 قمری، همزمان با هجوم چنگیزخان از بلخ کوچ کرد و سوگند یاد کرد که تا محمد خوارزمشاه بر تخت نشسته، به شهر خویش بازنگردد. مولانا در نوزده سالگی با گوهر خاتون ازدواج کرد.شمس تبریزی در حدود سال 642 قمری به مولانا پیوست و چنان او را شیفته کرد، که درس و وعظ را کنار گذاشت و به شعر و ترانه و دف و سماع پرداخت و از آن زمان طبعش در شعر و شاعری شکوفا شد و به سرودن اشعار پرشور عرفانی پرداخت. کسی نمی داند شمس تبریزی به مولانا چه گفت و چه آموخت که این گونه دگرگونش کرد؛ اما واضح است که شمس تبریزی عالم و جهان دیده بود و نوشته های او بهترین گواه بر دانش گسترده اش در ادبیات، لغت، تفسیر قرآن و عرفان است.مولانا، پس از مدت ها بیماری در پی تبی سوزان در غروب یکشنبه 5 جمادی الآخر 672 هجری قمری درگذشت.
22630.0,چانا میسن,چانا در بوگوتا کلمبیا متولد شد و در سن 5 سالگی به میامی فلوریدا رفت. وی پس از سر و صدا در نیوهمپشایر در کالج دارتموث و حضور در سمت مشاور مدیریت در سیدنی، استرالیا، سرانجام به اسرائیل مهاجرت کرد، با دیو ازدواج کرد و پسرش آریا لو، بزرگترین معلم، کتاب راهنما و الهام بخشنده از زندگی آنها شد. چانا زندگی خود را وقف یادگیری در مورد مردمش، سرزمینش، سلامتی و خودش، بلعیدن کتاب و فیلم، حضور در کارگاه ها، مصاحبه با کارشناسان و فرو رفتن بیشتر در خود و ریشه های خود کرده است. هیجان فراوان وی برای یادگیری، چه در یک محیط آموزش رسمی، و چه در تعاملات فردی با پسرش، دوستان یا مشتریانش، بیرون می ریزد.
3058.0,فریبا جعفری نمینی,فریبا جعفری نمینی ( متولد بهمن سال ۱۳۴۷ ) از نویسندگان و مترجمین موفق ایرانی است.خانواده وی اهل شهر زیبای نمین بودند و بعدها به تهران مهاجرت کردند.او در حال حاضر سردبیر مجله آنلاین روزهای ایده آل می باشد.روزهای ایده آل نشریه ای است مستقل که طیفی از آموزش ها، دانستنی ها و سرگرمی ها را به مخاطبان خود ارائه می دهد و تمامی مطالب روزهای ایده آل توسط گروه های تخصصی تهیه می شود که همگی تالیف انحصاری برای روزهای ایده آل و یا ترجمه از مقالات معتبر بین المللی است.این گروه های تخصصی تحت نظارت مستقیم سردبیر مجله روزهای ایده آل، خانم فریبا جعفری نمینی، نویسنده و مترجم با سابقه کشورمان فعالیت می کنند و به لطف ایده های ناب و به کوشش ایشان بود که این مجله انلاین راه اندازی شده است.
10107.0,محمود رضایی,محمود رضایی متولد سال 1370 نویسنده ایرانی می باشد.
4951.0,مهدی میرباقری,نمایشنامه نویس، کارگردان تئاترمهدی میرباقری دارای مدرک کارشناسی ارشد مهندسی عمران از دانشگاه صنعتی امیرکبیر (پلی تکنیک تهران)و همچنین کارشناسی ارشد ادبیات نمایشی از دانشگاه سوره می باشد.
16770.0,فرانک کسلر,فرانک کسلر دکترای مطالعات فیلم و اجرا از دانشگاه سوربن نوول در سال 1987 دارد. او از سال 1988 در هلند مشغول تدریس است؛ ابتدا در گروه فیلم (تئوری فیلم و درام) در KU nijmegen ، و از سال 1997 در دانشگاه اوترخت  استاد تاریخ رسانه می باشد.
8531.0,حسام الدین موسوی ریزی,
5950.0,جان کولمن,دکتر جان کلمن (John Coleman)، عامل اطلاعاتی سابق MI-6 سالها در مطالعه این گروه صرف کرد. وی متولد انگلستان است، و در آفریقای جنوبی و در انگلیس در تحقیقات اطلاعاتی خدمت کرده است.
5839.0,محمد امین ریاحی,محمدامینِ ریاحی (زادهٔ ۱۱ خرداد ۱۳۰۲ – درگذشتهٔ ۲۵ اردیبهشت ۱۳۸۸) ادیب، تاریخ‌نگار، و شخصیت فرهنگی معاصر ایرانی، صاحب آثار پژوهشی در زمینهٔ فرهنگ ایرانی، ادبیات فارسی، فردوسی و شاهنامه، حافظ، و تاریخ ایران است. محمدامین ریاحی در یازدهم خرداد ۱۳۰۲ در خوی در یکی از خاندان‌های قدیمی این شهر متولد شد. دوره‌های تحصیلات ابتدایی و دبیرستان را در خوی گذراند. پس از آغاز جنگ جهانی دوم و اشغال آذربایجان توسط نیروهای خارجی، در سال ۱۳۲۱ برای ادامه تحصیل به تهران رفت و دوره دانشسرای مقدماتی را گذراند. سپس به ادامهٔ تحصیل در دانشسرای عالی و دانشکدهٔ ادبیات دانشگاه تهران پرداخت. طی دورهٔ تحصیل در دانشکدهٔ ادبیات، از درس‌های نسل اول استادان برجستهٔ این دانشگاه از جمله بدیع‌الزمان فروزانفر، عباس اقبال آشتیانی، ملک‌الشعرا بهار، احمد بهمنیار، عبدالعظیم قریب و ابراهیم پورداود بهره گرفت. پس از آنکه در سال ۱۳۲۷ دورهٔ لیسانس زبان و ادبیات فارسی را به پایان رساند، تحصیل در دورهٔ دکتری را آغاز کرد. در سال ۱۳۳۷ پس از دفاع از رسالهٔ دکتری خود با موضوع «تحقیق و تصحیح مرصادالعباد نجم‌الدین رازی» به راهنمایی فروزانفر، درجهٔ دکتری در زبان و ادبیات فارسی گرفت. به نوشته محمدعلی اسلامی ندوشن، وی «یکی از آخرین کسان از نسل ادبای معتبر بود… که طی شصت سال در صحنهٔ فرهنگ ایران حضور داشت و هرچه نوشت دقیق و قابل اعتماد بود.»
9398.0,دورین ویرچو,"Doreen Virtue دارای کارشناسی و کارشناسی ارشد روانشناسی مشاوره از دانشگاه چپمن می باشد. او نویسنده بسیاری از کتاب ها ، از جمله فداکاری های روزانه ، ""صبح با خداوند"" و ""کتاب رویاهای شیرین"" و ""کلمات عاشقانه از کارت های عیسی"" است."
12227.0,سمیرا آرامی,سمیرا آرامی متولد خرداد ١٣۶۴ است. داستان‌های او تصویری و دیالوگ‌محور است. روابط انسانی، عشق، زندگی و گاهی ظلم به زن و حتی فروش فرزند را چنان صمیمی روایت می‌کند که خواننده را در جای‌جای داستان با خود همراه می‌کند. قلم او سرشار از طنز است و پر از شیطنت‌های کودکانه. هرکدام از داستان‌های این مجموعه برنده‌ی جوایز متعدد جشنواره‌های ملی همچون؛ مقام اول جایزه‌ی داستان تهران، مقام اول جشنواره‌ی داستان‌های ایرانی، مقام اول جشنواره‌ی ملی جوان ایرانی، مقام اول کنگره‌ی شعر و قصه‌ی جوان هرمزگان، مقام اول جایزه‌ی نیمروز، مقام اول جایزه‌ی شهر کتاب، مقام اول جایزه‌ی ادبی اصفهان، برگزیده‌ی جایزه‌ی ادبی بیهقی، برگزیده‌ی جایزه‌ی ادبی بوشهر و… بوده‌اند.
29739.0,پیتر وایس,پتر وایس نمایش‌نامه‌نویس، رمان‌نویس، نقاش و فیلم‌ساز تجربی سوئدی، زاده‌ی سال ۱۹۱۶ در آلمان است. نخستین نمایش‌نامه‌ی او که برایش شهرت جهانی به ارمغان آورد، «مارا/ساد» بود که سال ۱۹۶۴ نوشته بود.از دیگر نمایشنامه‌های او می‌توان به «استنطاق»، «ترانه‌ی دلقک لوسی‌تانیایی» و …. اشاره کرد. او به‌عنوان مترجم نمایشنامه‌های استریندبرگ هم شناخته می‌شود.
18862.0,ناصر وثوقی,دكتر ناصر وثوقى زاده ی در تهران ، كودكى را تحت سرپرستى مادر و دايى خود گذراند كه افسر تربیت‌شده کارشناس‌های سوئدى بود و اهل مطالعه. وثوقى بعد از مدرسه ابتدايى به كالج آمريكايى رفت و در آخرين دوره‌ای كه آمریکایی‌ها در ايران بودند ديپلم گرفت. حقوق و اقتصاد را هم تا مقطع دكترا در دانشگاه تهران گذراند كه درنتیجه آن سال‌ها به كار قضاوت پرداخته است. او صاحب تنها مجله اجتماعى ـ ادبى پنجاه‌ساله ايران ، «انديشه و هنر » ، است.
5477.0,جووانی گوارسکی,او در خانواده ای از طبقهٔ متوسط در نزدیکی شهر پارمای ایتالیا به دنیا آمد. پس از ناکامی در تحصیلات دانشگاهی به مشاغل مختلف روی آورد تا این که سرانجام در ۱۹۲۹ سردبیر مجله ای فکاهی به نام کوریره امیلیانو را به عهده گرفت و در سالهای ۱۹۳۶ تا ۱۹۴۳ سردبیری مجلهٔ فکاهی دیگری به نام برتولدو به عهدهٔ او گذاشته شد.در طی جنگ جهانی دوم دولت موسولینی را مورد انتقاد قرار داد که همین انتقادات مشکلاتی را برای اش فراهم آورد در همین دوران برادرش در جبههٔ روسیه مفقودالاثر شد و او شبی از ناراحتی مست کرد و تا صبح در خیابان ها عربده کشید و به فاشیست ها ناسزا گفت که موجب دستگیری او شد و مدت ها در بازداشتگاه های آلمانها به سر برد تا این که به سربازی رفت و به جبهه اعزام شد.در سال ۱۹۴۳، هنگامی که ایتالیا با نیروهای متفقین پیمان متارکه جنگ را امضا کرد، او در جبههٔ شرقی بود و چون حاضر به همکاری با آلمان نشد دستگیر و تا پایان جنگ در اردوگاه اسراء در کشور لهستان به سر برد و توسط ارتش انگلیس آزاد شد. بعد از بازگشت به کشور به کاریکاتورکشی روی آورد و البته پیش از آن حتی دست به کار دربانی و نگهبانی هم زده بود. به میلان رفت و ابتدا سردبیر هفته نامه «برتولدو» و سپس ناشر و سردبیر روزنامهٔ فکاهی «کاندیدو» شد و طنزهای سیاسی او مخاطبین بسیاری یافت.
3342.0,مرجان رضایی,
2198.0,سعدی,بومحمد مشرف الدین مصلح بن عبدالله بن مشرّف، متخلص به سعدی زاده ی سال 606 و در گذشته ی سال 690 هجری قمری، شاعر و نویسنده ی بزرگ ایرانی بود.سعدی به احتمال زیاد در سال 606 هجری قمری (برابر با حدود 589 خورشیدی و 1210 میلادی) در شیراز به دنیا آمد. با این حال، برخی از صاحب نظران، تولد او را در حدود سال 585 هجری قمری می دانند. با توجه به این که هیچ منبع تاریخی مستقلی در مورد زادروز سعدی گزارشی نداشته است، هر دو تاریخ ذکر شده، بر اساس استنباط صاحب نظران از آثار خود او به دست آمده است.نام کوچک سعدی، مصلح، از نام پدربزرگ پدری اش گرفته شد. پدر او، ملازم دربار سعد بن زنگی، اتابک فارس، بود و همزمان به علوم دینی نیز اشتغال داشت. سعدی از کودکی تحت تعلیم و تربیت قرار گرفت و از عشق و آموزه های خردمندانه ی پدر به نیکی یاد می کرد. سعدی در دوازده سالگی پدرش را از دست داد و تحت تکفل پدربزرگ مادری خود، مسعود بن مصلح الفارسی، قرار گرفت. او در دوران کودکی، مقدمات علوم ادبی و شرعی را در شیراز آموخت. سعدی به قولی، خواهرزاده ی قطب الدین شیرازی، دانشمند و فیلسوف سرشناس است. دوران کودکی و نوجوانی سعدی همزمان با اتابکی سعد بن زنگی در فارس بود، که با حمله ی مغول به ایران مصادف شد. اوضاع نابسامان ایران در پایان دوران سلطان محمد خوارزمشاه و به ویژه حمله ی سلطان غیاث الدین خوارزمشاه، برادر جلال الدین خوارزمشاه، به شیراز در سال 620 هجری قمری، سعدی را بر آن داشت که در روزگار جوانی شیراز را ترک کند و به بغداد برود.سعدی، تأثیر انکارناپذیری بر زبان فارسی گذاشته است به طوری که شباهت قابل توجهی بین فارسی امروزی و زبان سعدی وجود دارد. آثار او مدت ها در مدارس و مکتب خانه ها به عنوان منبع آموزش زبان و ادبیات فارسی تدریس می شده و بسیاری از ضرب المثل های رایج در زبان فارسی از آثار وی گرفته شده است. او بر خلاف بسیاری از نویسندگان معاصر یا پیش از خود، ساده نویسی و ایجاز را در پیش گرفت و توانست، حتی در زمان حیاتش، شهرت زیادی به دست آورد. آثار سعدی اصطلاحا سهل ممتنع است و در آن ها نکته سنجی و طنز آشکار یا پنهان ملاحظه می شود.تاریخ درگذشت سعدی را در منابع گوناگون، بین سال های 690 تا 695 هجری قمری ذکر کرده اند. اما مورد اعتمادترین روایت که سعید نفیسی طرح می کند، این است که وی در 27 ذیحجه ی سال 690 هجری درگذشته و در همان خانقاهی که اقامت گزیده بود، به خاک سپرده شده است.
