id,name,description,counter
18177.0,کریم فیضی,کریم فیضی در سال ۱۹۸۰ میلادی (= ۱۳۵۸ شمسی) یک سال بعد از انقلاب اسلامی در تبریز به دنیا آمد. در آن سال تبریز درگیر شورش هایی بود که کمتر از شورش های تهران به عنوان مرکز ایران و قلب انقلاب نبود. تولد او مقارن با روزی بود که سید محمدعلی قاضی طباطبایی - از چهره های نامدار انقلابی - در تبریز ترور شد و به عنوان اولین کشته عبادتگاه (= «شهید محراب») معروف شد. بنابراین می توان حدس زد که کودکی اش در موجی از هیاهو و درگیری و ناآرامی سپری شده باشد.,16
29575.0,صادق عاشورپور,صادق عاشورپور، متولد ۱۳۳۲ همدان.از شانزده سالگی پا به دنیای تئاتر گذاشت و هنوز و هنوز مینویسد.مجموعه هفت جلدی نمایش‌های ایرانی و مجموعه چهار جلدی بازیهای محلی و بسیار نمایشنامه، کمی است از کارنامه نمایشی او.,17
18531.0,مرتضی مشیر,,18
30637.0,کریستین سیکستا راینهارت,,19
,محمد بابایی,,20
24693.0,کامران شیردل,,21
5779.0,مژگان شیخی,مژگان شيخی متولد سال 1341 و دارای مدرک مترجمی زبان انگليسی است. وی از سال 63 كار نوشتن را با داستان «بلبل نوک طلا و باغ آرزوها» آغاز كرد. شیخی هم در زمينه ادبيات كودكان و هم ادبيات بزرگسالان فعاليت داشته است و تاكنون بيش از 150 عنوان از كتاب‌هايش به چاپ رسيده است كه برخی از آنها برای فيلم‌های سينمايی قرارگرفته‌اند. از آثار او در زمينه ادبيات كودک می‌توان به «زندگی حضرت يوسف»، «تابستان و غاز سفيد»، «دستی برای دوستی» و «گلی در سرزمين زمستان‌ها» و «365 قصه برای 365 روز سال» اشاره کرد.,22
10107.0,محمود رضایی,محمود رضایی متولد سال 1370 نویسنده ایرانی می باشد.,23
22630.0,چانا میسن,چانا در بوگوتا کلمبیا متولد شد و در سن 5 سالگی به میامی فلوریدا رفت. وی پس از سر و صدا در نیوهمپشایر در کالج دارتموث و حضور در سمت مشاور مدیریت در سیدنی، استرالیا، سرانجام به اسرائیل مهاجرت کرد، با دیو ازدواج کرد و پسرش آریا لو، بزرگترین معلم، کتاب راهنما و الهام بخشنده از زندگی آنها شد. چانا زندگی خود را وقف یادگیری در مورد مردمش، سرزمینش، سلامتی و خودش، بلعیدن کتاب و فیلم، حضور در کارگاه ها، مصاحبه با کارشناسان و فرو رفتن بیشتر در خود و ریشه های خود کرده است. هیجان فراوان وی برای یادگیری، چه در یک محیط آموزش رسمی، و چه در تعاملات فردی با پسرش، دوستان یا مشتریانش، بیرون می ریزد.,24
3058.0,فریبا جعفری نمینی,فریبا جعفری نمینی ( متولد بهمن سال ۱۳۴۷ ) از نویسندگان و مترجمین موفق ایرانی است.خانواده وی اهل شهر زیبای نمین بودند و بعدها به تهران مهاجرت کردند.او در حال حاضر سردبیر مجله آنلاین روزهای ایده آل می باشد.روزهای ایده آل نشریه ای است مستقل که طیفی از آموزش ها، دانستنی ها و سرگرمی ها را به مخاطبان خود ارائه می دهد و تمامی مطالب روزهای ایده آل توسط گروه های تخصصی تهیه می شود که همگی تالیف انحصاری برای روزهای ایده آل و یا ترجمه از مقالات معتبر بین المللی است.این گروه های تخصصی تحت نظارت مستقیم سردبیر مجله روزهای ایده آل، خانم فریبا جعفری نمینی، نویسنده و مترجم با سابقه کشورمان فعالیت می کنند و به لطف ایده های ناب و به کوشش ایشان بود که این مجله انلاین راه اندازی شده است.,25
16770.0,فرانک کسلر,فرانک کسلر دکترای مطالعات فیلم و اجرا از دانشگاه سوربن نوول در سال 1987 دارد. او از سال 1988 در هلند مشغول تدریس است؛ ابتدا در گروه فیلم (تئوری فیلم و درام) در KU nijmegen ، و از سال 1997 در دانشگاه اوترخت  استاد تاریخ رسانه می باشد.,26
8531.0,حسام الدین موسوی ریزی,,27
4951.0,مهدی میرباقری,نمایشنامه نویس، کارگردان تئاترمهدی میرباقری دارای مدرک کارشناسی ارشد مهندسی عمران از دانشگاه صنعتی امیرکبیر (پلی تکنیک تهران)و همچنین کارشناسی ارشد ادبیات نمایشی از دانشگاه سوره می باشد.,28
52737.0,آتیلا زیگتی‏‫,,29
52734.0,محسن احمدزاده,,30
5839.0,محمد امین ریاحی,محمدامینِ ریاحی (زادهٔ ۱۱ خرداد ۱۳۰۲ – درگذشتهٔ ۲۵ اردیبهشت ۱۳۸۸) ادیب، تاریخ‌نگار، و شخصیت فرهنگی معاصر ایرانی، صاحب آثار پژوهشی در زمینهٔ فرهنگ ایرانی، ادبیات فارسی، فردوسی و شاهنامه، حافظ، و تاریخ ایران است. محمدامین ریاحی در یازدهم خرداد ۱۳۰۲ در خوی در یکی از خاندان‌های قدیمی این شهر متولد شد. دوره‌های تحصیلات ابتدایی و دبیرستان را در خوی گذراند. پس از آغاز جنگ جهانی دوم و اشغال آذربایجان توسط نیروهای خارجی، در سال ۱۳۲۱ برای ادامه تحصیل به تهران رفت و دوره دانشسرای مقدماتی را گذراند. سپس به ادامهٔ تحصیل در دانشسرای عالی و دانشکدهٔ ادبیات دانشگاه تهران پرداخت. طی دورهٔ تحصیل در دانشکدهٔ ادبیات، از درس‌های نسل اول استادان برجستهٔ این دانشگاه از جمله بدیع‌الزمان فروزانفر، عباس اقبال آشتیانی، ملک‌الشعرا بهار، احمد بهمنیار، عبدالعظیم قریب و ابراهیم پورداود بهره گرفت. پس از آنکه در سال ۱۳۲۷ دورهٔ لیسانس زبان و ادبیات فارسی را به پایان رساند، تحصیل در دورهٔ دکتری را آغاز کرد. در سال ۱۳۳۷ پس از دفاع از رسالهٔ دکتری خود با موضوع «تحقیق و تصحیح مرصادالعباد نجم‌الدین رازی» به راهنمایی فروزانفر، درجهٔ دکتری در زبان و ادبیات فارسی گرفت. به نوشته محمدعلی اسلامی ندوشن، وی «یکی از آخرین کسان از نسل ادبای معتبر بود… که طی شصت سال در صحنهٔ فرهنگ ایران حضور داشت و هرچه نوشت دقیق و قابل اعتماد بود.»,31
12227.0,سمیرا آرامی,سمیرا آرامی متولد خرداد ١٣۶۴ است. داستان‌های او تصویری و دیالوگ‌محور است. روابط انسانی، عشق، زندگی و گاهی ظلم به زن و حتی فروش فرزند را چنان صمیمی روایت می‌کند که خواننده را در جای‌جای داستان با خود همراه می‌کند. قلم او سرشار از طنز است و پر از شیطنت‌های کودکانه. هرکدام از داستان‌های این مجموعه برنده‌ی جوایز متعدد جشنواره‌های ملی همچون؛ مقام اول جایزه‌ی داستان تهران، مقام اول جشنواره‌ی داستان‌های ایرانی، مقام اول جشنواره‌ی ملی جوان ایرانی، مقام اول کنگره‌ی شعر و قصه‌ی جوان هرمزگان، مقام اول جایزه‌ی نیمروز، مقام اول جایزه‌ی شهر کتاب، مقام اول جایزه‌ی ادبی اصفهان، برگزیده‌ی جایزه‌ی ادبی بیهقی، برگزیده‌ی جایزه‌ی ادبی بوشهر و… بوده‌اند.,32
9398.0,دورین ویرچو,"Doreen Virtue دارای کارشناسی و کارشناسی ارشد روانشناسی مشاوره از دانشگاه چپمن می باشد. او نویسنده بسیاری از کتاب ها ، از جمله فداکاری های روزانه ، ""صبح با خداوند"" و ""کتاب رویاهای شیرین"" و ""کلمات عاشقانه از کارت های عیسی"" است.",33
,مریم الهی,,34
5477.0,جووانی گوارسکی,او در خانواده ای از طبقهٔ متوسط در نزدیکی شهر پارمای ایتالیا به دنیا آمد. پس از ناکامی در تحصیلات دانشگاهی به مشاغل مختلف روی آورد تا این که سرانجام در ۱۹۲۹ سردبیر مجله ای فکاهی به نام کوریره امیلیانو را به عهده گرفت و در سالهای ۱۹۳۶ تا ۱۹۴۳ سردبیری مجلهٔ فکاهی دیگری به نام برتولدو به عهدهٔ او گذاشته شد.در طی جنگ جهانی دوم دولت موسولینی را مورد انتقاد قرار داد که همین انتقادات مشکلاتی را برای اش فراهم آورد در همین دوران برادرش در جبههٔ روسیه مفقودالاثر شد و او شبی از ناراحتی مست کرد و تا صبح در خیابان ها عربده کشید و به فاشیست ها ناسزا گفت که موجب دستگیری او شد و مدت ها در بازداشتگاه های آلمانها به سر برد تا این که به سربازی رفت و به جبهه اعزام شد.در سال ۱۹۴۳، هنگامی که ایتالیا با نیروهای متفقین پیمان متارکه جنگ را امضا کرد، او در جبههٔ شرقی بود و چون حاضر به همکاری با آلمان نشد دستگیر و تا پایان جنگ در اردوگاه اسراء در کشور لهستان به سر برد و توسط ارتش انگلیس آزاد شد. بعد از بازگشت به کشور به کاریکاتورکشی روی آورد و البته پیش از آن حتی دست به کار دربانی و نگهبانی هم زده بود. به میلان رفت و ابتدا سردبیر هفته نامه «برتولدو» و سپس ناشر و سردبیر روزنامهٔ فکاهی «کاندیدو» شد و طنزهای سیاسی او مخاطبین بسیاری یافت.,35
3342.0,مرجان رضایی,,36
4648.0,پیمان هوشمند زاده,پیمان هوشمندزاده (۱۳۴۸ تهران) نویسنده و عکاس ایرانی است. او چند کتاب نوشته‌است و در زمینه عکاسی برنده جایزه‌های گوناگون شده و نمایشگاه‌های گروهی و انفرادی بسیاری در تهران، بلژیک، دانمارک، یونان، لبنان، برلین، استرالیا، گرجستان، کویت، نیویورک و پاریس برگزار کرده‌است. هوشمندزاده دانش‌آموخته عکاسی از دانشگاه آزاد اسلامی است. او کار خود به عنوان عکاس را ابتدا با نشریات و آژانس‌های عکس شروع کرد و بعد از مدتی با همراهی جواد منتظری و امید صالحی آژانس عکس 135Photos را تأسیس کرد. مجموعه قهوه خانه‌های گمرک و دست‌ها و کمربندها از معروفترین آثار او محسوب می‌شوند.,37
29739.0,پیتر وایس,پتر وایس نمایش‌نامه‌نویس، رمان‌نویس، نقاش و فیلم‌ساز تجربی سوئدی، زاده‌ی سال ۱۹۱۶ در آلمان است. نخستین نمایش‌نامه‌ی او که برایش شهرت جهانی به ارمغان آورد، «مارا/ساد» بود که سال ۱۹۶۴ نوشته بود.از دیگر نمایشنامه‌های او می‌توان به «استنطاق»، «ترانه‌ی دلقک لوسی‌تانیایی» و …. اشاره کرد. او به‌عنوان مترجم نمایشنامه‌های استریندبرگ هم شناخته می‌شود.,38
18862.0,ناصر وثوقی,دكتر ناصر وثوقى زاده ی در تهران ، كودكى را تحت سرپرستى مادر و دايى خود گذراند كه افسر تربیت‌شده کارشناس‌های سوئدى بود و اهل مطالعه. وثوقى بعد از مدرسه ابتدايى به كالج آمريكايى رفت و در آخرين دوره‌ای كه آمریکایی‌ها در ايران بودند ديپلم گرفت. حقوق و اقتصاد را هم تا مقطع دكترا در دانشگاه تهران گذراند كه درنتیجه آن سال‌ها به كار قضاوت پرداخته است. او صاحب تنها مجله اجتماعى ـ ادبى پنجاه‌ساله ايران ، «انديشه و هنر » ، است.,39
15233.0,شاهین رهنما,,40
24868.0,طاهره شاه محمدی,طاهره شاه محمدی متولد سال 1362؛ نویسنده ایرانی می باشد.,41
59906.0,میشل دین,میچل دین، استاد مدیریت عمومی، دانشکده بازرگانی کپنهاگ، دانمارک، و استاد جامعه‌شناسی در دانشگاه نیوکاسل، استرالیا است. کتاب های قبلی او عبارتند از حکومت: قدرت و حاکمیت در جامعه مدرن (1999، ویرایش دوم بازبینی شده، SAGE، 2010)، قانون اساسی فقر: به سوی تبارشناسی حکومت لیبرال (راتلج، 1991/2012)، تاریخ های انتقادی و مؤثر: Me Foucaults' و جامعه شناسی تاریخی (راتلج، 1994)، و جوامع حاکم: دیدگاه های سیاسی در مورد قوانین داخلی و بین المللی (انتشارات دانشگاه آزاد، 2007).انتشارات او در تعداد زیادی از زمینه ها با تمرکز بر مشکلات دولت، حاکمیت و قدرت، لیبرالیسم و ​​نئولیبرالیسم، اندیشه سیاسی و اجتماعی، جامعه شناسی تاریخی، و سیاست اجتماعی و عمومی است. با این حال، او همچنین در موضوعات مختلفی مانند مدیریت ریسک، دولت الکترونیک، اسطوره‌شناسی سیاسی، جوامع باستانی، جنگ و صلح، هنر معاصر، سینما و مد مطالبی را منتشر کرده است.,42
45942.0,کرم حبیب پور گتابی,کرم حبیب‌پور گتابی استادیار جامعه شناسی، دانشکده ادبیات و علوم انسانی، دانشگاه خوارزمی،,43
20095.0,رحیم نوبهار,رحیم نوبهارمتولد سال 1340 در کازرون ، دانشیار دانشکده حقوق دانشگاه شهید بهشتی و نویسنده می باشد. او دارای مدرک دکتری حقوق کیفری و جرم­ شناسی از دانشگاه شهید بهشتی می باشد. او همچنین دارای تحصیلات حوزوی است و در حوزه علمیه ی قم ، دانشگاه مفید قم و دانشگاه شهید بهشتی ، اصول و متون فقه تدریس کرده است.,44
55701.0,رحیم روحبخش,,45
23566.0,جمشید روستا,دکتر جمشید روستا متولد سال 1361، استادیار دانشکده ادبیات و علوم انسانی می باشد.,46
35389.0,آران شکیبا,آران شکیبا (پرنده) متولد سال 1375، شاعر معاصر می باشد.,47
5227.0,ایرج افشار,ایرج افشار (زادهٔ ۱۶ مهر ۱۳۰۴ – درگذشتهٔ ۱۸ اسفند ۱۳۸۹) پژوهش‌گر فرهنگ و تاریخ ایران و ادبیات فارسی، ایران‌شناس، کتاب‌شناس، نسخه‌پژوه، نویسنده و استاد دانشگاه ایرانی بود.,48
29573.0,مرجان ظریفی,مرجان ظریفی (1350) مربی فرهنگی کانون پرورش فکری کودکان و نوجوانان و نویسنده است.,49
10763.0,حسین بشیریه,,50
4921.0,شهربانو قهاری,من دکتر قهاری، عضو هیئت علمی دانشگاه علوم پزشکی ایران هستم و با مراکزی از جمله: مرکز مشاوره سگال (۱۳۸۴ تا کنون) به صورت پاره وقت، خوابگاه دانشگاه تهران (۱۳۸۴ تا کنون) به صورت پاره وقت، مرکز مشاوره دانشگاه تهران (۱۳۸۲ تا کنون) به صورت پاره وقت و با هدف رفتار درمانی-شناختی برای اختلالات اضطرابی، افسردگی و اعتیاد دانشجویان دانشگاه، همکاری می کنم. قابل ذکر می باشد که فارغ التحصیل روان شناسی بالینی در سه مقطع کارشناسی (دانشگاه علامه طباطبایی)، کارشناسی ارشد و دکترا (دانشگاه علوم پزشکی ایران) هستم. تا به امروز در کارگاه و دوره های آموزشی مختلفی شرکت کرده ام و نیز کارگاه های آموزشی زیادی را برگزار کرده ام، علاوه بر این در کنگره ها و سمینار های مختلفی مقاله ارائه داده ام. از جمله تألیفات خود نیز می توانم به کتاب “هوش هیجانی” (۱۳۸۶)، “سالم زندگی کنید” (۱۳۸۶) و… اشاره کنم.,51
4924.0,جعفر بوالهری,"جعفر بوالهری در سال 1327، در همدان به دنیا آمد. وی تحصیلات ابتدایی و 
متوسطه را زادگاه خود طی کرد و پس از آن در سال 1347 وارد دانشگاه تهران شد
 و با موفقیت دوره پزشکی عمومی را به اتمام رساند. پس از آن طی سالهای 
1361تا 1364 دوره روانپزشکی را در همان دانشگاه سپری نمود و با اخذ تخصص 
این رشته وارد فعالیت درمانی و آموزشی شد. او به عنوان یک روان پزشک، تا 
کنون ریاست انستیتو روان پزشکی تهران، مرکز همکاری‎های مشترک با سازمان 
بهداشت جهانی و مرکز تحقیقات بهداشت روان را به عهده داشته علاوه بر آن ، 
در دانشگاههای چون علوم پزشکی و... به امر تدریس اشتغال ورزیده است.",52
9682.0,علیرضا لبش,"علیرضا لبش متولد اول مهر 1360 در قم است اما ساکن تهران و فارغ التحصیل رشته جامعه شناسی با مدرک کارشناسی ارشد. او شاعری نو پرداز و اصطلاحا سپید سرا است. البته او داستان نویس و طنز پرداز نیز است.در شعرهای لبش, به دلیل کشف مضامین بکر و امروزی, معنا حرف اول را می زند و ساختار و بازی های زبانی در مراحل بعدی مورد توجه قرار می گیرد.وی تا کنون در بسیاری از جشنوار های ادبی مانند جشنواره بین المللی شعر فجر/جایزه ادبی اصفهان/گام اول و…. برگزیده شده و کتاب های خنده در مراسم تدفین.نسکافه های بعد از ظهر.مرثیه ای برای گمگشتگی.و کافه نده از آثار منتشر شده اوست.",53
31182.0,جسیکا لاهی,,54
,ریحانه کربلایی,,55
25695.0,تریسی گادریج,,56
24871.0,فاطمه صهبا,,57
10945.0,کورت توخولسکی,کورت توخولسکی (Kurt Tucholsky) (زاده ۹ ژانویه ۱۸۹۰ – درگذشته ۲۱ دسامبر ۱۹۳۵) نویسنده و شاعر و روزنامه‌نگار آلمانی بود.توخولسکی در آغاز آخرین دههٔ قرن نوزدهم، در آلمان، به دنیا آمد. روزنامه‌نگار و طنزنویس بود و عضو حزب سوسیالیست مستقل آلمان (او اس پ د). پس از به قدرت رسیدن هیتلر و حزب نازی در آلمان، گشتاپو به چند دلیل یهودی، روزنامه‌نگار، سوسیالیست و طنزپرداز بودن (که البته یکی از آن دلایل برای مرگ یا تبعید کافی بود)، تابعیت آلمانی او را لغو و به سوئد تبعیدش کردند. توخولسکی قبل از آن که شاهد جنگ جهانی دوم باشد، در نیمهٔ دههٔ چهارم قرن بیستم، بر اثر خوردن مقداری زیادی داروی ورونال در بیمارستانی در سوئد مرد و برخی معتقد هستند که او خودکشی کرده‌است.به افتخارش انجمن قلم سوئد بورس تحصیلی‌ای ایجاد کرده‌است که هر ساله به نویسندگان یا ناشرانی که برای نشر آثارشان مورد خشونت قرار گرفته‌اند اهدا می‌شود تاکنون فرج سرکوهی و ناصر زرافشان از ایران این جایزه را دریافت کرده‌اند.,58
3986.0,محمدرضا قلیچ خانی,,59
20426.0,قاسم یاحسینی,سید قاسم یاحسینی در سال ١٣٤٤ در شیراز متولد شد. دوران کودکی اش را در شهرهای لار (از توابع استان فارس) و برازجان (از توابع استان بوشهر) سپری کرد. از سال ١٣٥٧ تا امروز ساکن بندر بوشهر می باشد. وی یکی از پرکارترین مورخان بوشهری به شمار می رود و از سال ١٣٧٠ تا کنون نزدیک به هفتاد جلد کتاب در زمینه های بوشهر شناسی، تنگستان شناسی، خاطره نویسی و تاریخ شفاهی جنگ تحمیلی و تاریخ روشنفکری در ایران منتشر کرده است. یاحسینی از پیشتازان مطالعات در باب تنگستان شناسی در ایران می باشد و چند کتاب و دهها مقاله در این باره منتشر کرده است. از این مورخ بوشهری رساله ها و کتاب های چندی به زبان های انگلیسی و فرانسه ترجمه گردیده است.,60
23014.0,ژان پل رو,دکتر ژان پل رو (5 ژانویه 1925 - 29 ژوئن 2009) یک ترک شناس و متخصص فرهنگ اسلامی اهل فرانسه بود. وی فارغ التحصیل مؤسسه ملی زبان و تمدنهای شرقی ، مدرسه عالی لوور و آموزشگاههای عالی بود و در سال 1966 در پاریس دکترای ادبیات گرفت. وی از سال 1957 تا 1970 مدیر تحقیقات CNRS ، از 1960 تا 1966 دبیر گروه زبانها و تمدنهای شرقی و معلم هنر اسلامی در اكول لوور بود.,61
754.0,محمود بهفروزی,,62
128.0,هاروکی موراکامی,هاروکی موراکامی در ۱۲ ژانویه ۱۹۴۹ در کیوتو ژاپن به دنیا آمد. در سال ۱۹۶۸ به دانشگاه هنرهای نمایشی واسدا رفت. در سال ۱۹۷۱ با همسرش یوکو ازدواج کرد و به گفته ی خودش در آوریل سال ۱۹۷۸ در هنگام تماشای یک مسابقه ی بیسبال، ایده ی اولین کتاب اش، به آواز باد گوش بسپار به ذهنش رسید. در سال ۱۹۷۹ این رمان منتشر شد و در همان سال جایزه ی نویسنده ی جدید گونزو را دریافت کرد. در سال ۱۹۸۰ رمان پینبال (اولین قسمت از سه گانه ی موش صحرایی) را منتشر کرد. در سال ۱۹۸۱ بار جازش را فروخت و نویسندگی را پیشه ی حرفه ای خود کرد.,63
3819.0,م عمرانی,,64
56919.0,دنیتسا گئورگوا,,65
15870.0,مسلم قاسمی,"مسلم قاسمی متولد سال 1333، عضو هیئت مؤسس بنیاد نمایش کودک ایران، کارشناس دو رشته مدیریت و کارگردانی است و به عنوان بازیگر، نویسنده، کارگردان، صداپیشه، پژوهشگر، مترجم ادبیات و ادبیات نمایشی کودک و نوجوان نیز مشغول فعالیت است. او تئاتر، نمایش خلاق و فن بیان را در دانشکده‌های تهران، علوم پزشکی و تربیت معلم تدریس کرده است. اجرای صدها نمایش سیار، خیابانی و صحنه‌ای در سراسر کشور و حضور در جشنواره‌های ایرانی و خارجی از دیگر فعالیت‌های این پیش‌کسوت حوزه تئاتر کودک و نوجوان به شمار می‌آیند. نقالی و پرده‌خوانی، ترجمه نمایش‌نامه و نزدیک به دویست عنوان داستان آموزشی و تربیتی و کتاب‌های تکنولوژی آموزشی، تالیف چندین مجموعه نمایش‌نامه برای کودکان و نوجوانان تحت عنوان ""نمایش در کلاس درس"" و نگارش و انتشار چندین مقاله در نشریات تخصصی فرهنگی و هنری از عمده آثار و فعالیت های او محسوب می شود. مسلم قاسمی بیش از دو دهه است که در کشور آلمان اقامت دارد و در حوزه هنرهای نمایشی در این کشور نیز فعالیت های متعددی صورت داده است.",66
3274.0,مجموعه ی نویسندگان,,67
25397.0,کری ادینگتون,دکتر  کری ادینگتون (Kari M. Eddington)، روانشناس بالینی، دانشیار روانشناسی و مدیر برنامه درمان و تحقیقات افسردگی در دانشگاه کارولینای شمالی در گرینزبورو است. تحقیقات وی بر روی عوامل انگیزشی در افسردگی متمرکز است.,68
22052.0,احمد به پژوه,دکتر احمد به پژوه استاد دانشکده روانشناسی و علوم تربیتی متولد سال 1327 می باشد.,69
14271.0,تام زیگفرید,تام زيگفريد خبرنگار آمریکایی متولد 23 دسامبر 1950 است. وی از سال 2007 تا 2012 سردبیر اخبار علمی بود و از سال 2014 تا 2017 مدیر آن بود. او نویسنده وبلاگ Context است. علاوه بر Science News ، کارهای او در جاهای دیگر نیزمنتشر شده است.,70
9425.0,مهدی صادقی,,71
9688.0,میترا عرفانی خانقاهی,ميترا عرفاني خانقاهي متولد سال 1362 نویسنده معاصر می باشد.,72
38255.0,بهناز مشاطیان,بهناز مشاطیان نویسنده ایرانی متولد سال 1351 می باشد.,73
38730.0,سوزان هانتر جونز,سوزان هانتر جونز (Susan Hunter-Jones) نویسنده انگلیسی می باشد.,74
8340.0,محمد امین باباربیع,محمد امین باباربیع نویسنده ایرانی متولد سال 1364 می باشد.,75
