group_id,description
61295,این کتاب ارائه دهنده نمایی از زندگی بزرگان و افراد موفق تاریخ، رازهایی درباره موفقیت و مباحثی پیرامون قانون جاذبه است. شما هم می توانید راه های تقویت امید، دستیابی به آرامش، رضایت، حس خوب و تبدیل شدن به خود دل خواهتان را به شما نشان خواهد داد.
11759,«ژولیا کریستوا» از جمله نویسندگان و متفکران غربی معاصر است که آثار بسیاری در زمینه های فلسفه، روانکاوی، ادبیات، فمینیسم، و مطالعات فرهنگی دارد. در مجموعة حاضر، که مشتمل بر یک درآمد، پنج گفت وگو و یک سخنرانی است سعی بر آن بوده تا مسیر فکری و آثار کریستوا مورد بررسی قرار گیرد و باب آشنایی با برخی از اندیشه های انتقادی وی بازگردد.
19645,«نیمه ناتمام» چهارمین رمان نسرین قربانی و روایت زندگی خانواده‎ای در دو مقطع قبل و بعد از پیروزی انقلاب اسلامی است که بر محور شرح حال یکی از اعضای این خانواده به نام مهناز می‎گذرد. مهناز در طبقه متوسط جامعه زمان زندگی خود قرار می‎گیرد. این رمان به روایت‎‎هایی مختلف از سرنوشت اعضای این خانواده می‎پردازد و پیروزی انقلاب اسلامی به‎عنوان نقطه عطف این اثر، منجر به ایجاد تحولات زیادی در شخصیت‎‎های داستان می‎شود و پس از این ‎رویداد است که برخی از آن‎ها از پوستین روایی داستان بیرون آمده و جبهه‎بندی‎‎‎های تازه‎ای را پیش روی خود و مخاطبشان خلق می‎کنند. قربانی درباره این رمان گفته است که گرچه این رمان می‎تواند از واقعیت شخصی نویسنده نشأت گرفته باشد اما حجم این واقعیات به اندازه‎ای نیست که بتواند چندین رمان ایجاد کند و به همین خاطر نویسنده باید بیش از پیش متکی به تخیلات خودش برای نوشتن باشد. در بخشی از این رمان می‎خوانیم: «خبر مثل بمبی منفجر شد: «دایی رضا را از سر کلاس بردند.» انگار شیئی سنگین توی سرم خورد و چیزی توی مغزم ترکید. گیج و ناهوشیار به دهان آقاجون نگاه کردم. چنگ انداختم به بازوی صبا. زمین زیر پایم تاب می‎خورد. چشمانم می‎جوشید...»
76224,آیا اصولا خانم ها باید کار کنند یا خیر؟چرا این همه مشکلات بر سر راه کار کردن خانم ها وجود دارد؟چرا در جوامع پیشرفته نیمی از مشاغل و پست ها در اختیار خانم هاست ولی در کشور ما خیر؟
113125,
19993,یکی از بزرگ مردان تاریخ این سرزمین، میرزا محمدتقی خان فراهانی نوشته ها و نانوشته ها دارد. با نگاهی به زندگی او که بسیار کوتاه و پر تلاطم هم بوده، افت و خیزهای بسیاری را می بینیم که برای نوشتن هر یک نیاز به صدها صفحه است. لذا در این کتاب تا حد امکان سعی کرده ایم از تلخ و شیرین زندگی این استثنایی ترین فرزند این مرز و بوم یاد کنیم. زندگی عادی و زندگی سیاسی امیر، گاه خیلی نزدیک به هم و گاه خیلی دور از هـم است. زندگی امیر، وزیر دربار قاجار و در پی آن فعالیت های سیاسی و اقتصادی از یک سو و داماد خانواده ی سلطنتی و خویشاوندی اش از سوی دیگر، ورود به زندگی این شخصیت برجسته ی تاریخ معاصر ایران را بسیار دشوار می کند و...
43554,چه کسی این پیام های تحریک آمیز و ترسناک را برای اسکرپی می فرستد؟ فرستنده ی ناشناس قابل ردیابی نیست.ابتدای کار،ماموریت ها عوضی،اما اسباب تفریحند؛ولی کم کم خطرناک می شوند.و بعد...مرگبار زمانی که تعقیب گر ناشناس از اسکرپی میخواهد از بالای صخره به عمق دریاچه بپرد، دیگر برای منصرف شدن خیلی دیر شده...
48881,پس از مطالعه این کتاب دیدگاه جدیدی به مدیریت رفتار مصرف کننده پیدا می کنید. بازاریابان با کمک این کتاب می توانند با مصرف کننده ای که هر روز در حال رنگ عوض کردن است، روبه رو شوند . مصرف کنندگانی که در حال تبدیل شدن به آفتاب پرست هستند.
60258,"""مالو"" باید چند روز را با مادربزرگش، بالینا، بگذراند که در داستان ‌گویی و بافتن روتختی تخصص دارد. مالو در ابتدا احساس می‌ کند این روزها، بدترین و سخت ‌ترین روزهای عمرش خواهند بود. اما مریخی کامپیوتر او را در برابر آزمون دشواری قرار می‌ دهد و ناگهان مالو احساس می ‌کند نیمی از وجودش در بدن مادربزرگ حلول کرده و به این وسیله او به خوبی دردهای جسمانی و احساس‌ های روحی بالینا را درک می ‌کند. این مساله باعث می‌ شود تا دختر کوچک حس بهتری نسبت به مادربزرگ پیدا کرده و کشف کند که مادربزرگ، رازهای بسیاری در سینه دارد. هنگامی که مادربزرگ درد دارد، مالو نیز این درد را حس می‌ کند و گاه که بی‌ دلیل به گریه می ‌افتد، می ‌فهمد که بالینای پیر دلتنگ است. این جریان‌ ها باعث می ‌شود تا مادربزرگ و نوه به شناخت بیش ‌تر و بهتری نسبت به یکدیگر دست یافته و با هم صمیمی ‌تر شوند. مالو از آزمایش موفق بیرون می‌ آید و مریخی کامپیوتر او را بار دیگر به حالت اول باز می ‌گرداند."
15469,"کتاب ""تاریخ فسلفه"" اثر ""ویل دورانت"" میباشد که تلاش دارد تا طرح روشنی از تحول اندیشه به خواننده ارائه دهد و مفهوم های بنیادین تفکر فلسفی و جنبش های تاریخ ساز فلسفی را بشناساند.روایتی درخشان و مختصر از زندگی و اندیشه های فیلسوفان بزرگ - افلاطون ، ارسطو ، بیکن ، اسپینوزا ، ولتر ، کانت ، شوپنهاور ، اسپنسر ، نیچه ، برگسون ، کروس ، راسل ، سانتایانا و جیمز را بیان میکند."" تاریخ فلسفه"" یکی از کتابهای درخشان زمان ما است. بینش و هوشیاری دورانت هرگز در جریان کتاب کم و یا زیاد نمیشود. ""تاریخ فلسفه"" کتابی کلیدی برای هر خواننده ای است که مایل به بررسی تاریخ و پیشرفت اندیشه های فلسفی در جهان غرب است.کتاب شامل یازده فصل است، که به ترتیب به بررسی این فلاسفه می پردازد:افلاطون (به علاوهٔ قسمتی در مورد سقراط)ارسطوفرانسیس بیکنباروخ اسپینوزافرانسوا ولتر (به علاوهٔ قسمتی دربارهٔ ژان-ژاک روسو)ایمانوئل کانت (به علاوهٔ قسمتی دربارهٔ گئورگ ویلهلم فریدریش هگل)آرتور شوپنهاورهربرت اسپنسرفریدریش نیچهآنری برگسون، بندیتو کروچه و برتراند راسلجرج سانتایانا، ویلیام جیمز و جان دیویی"
73034,آخرین فاتح کوچ نشین بزرگ، تیمور مردی با جاه طلبی و دستاوردهای عظیم بود که هیچ حاکم قدرتمند معاصری را بدون چالش بر جای نگذاشت. او در سال 1370 در ویرانه های امپراتوری مغول به قدرت رسید و تا زمان مرگش تقریبا بی وقفه به مبارزات انتخاباتی پرداخت. او شخصا رهبری این مبارزات را بر عهده داشت، علیرغم بدشکلی دست و پای راستش که به او لقب «تیمور لنگ» داده بود. همه دستاوردهای او در مقیاسی بزرگتر از زندگی بود، از وحشیگری حساب شده تا شهرهای سرکش گرفته تا ساختمان های پایتخت باشکوهش سمرقند. در زمستان 1405 او در راه فتح چین درگذشت.
31958,این کتاب خاطرات صالح و روش های مدیریتی او در دوره رضاشاه و محمدرضاشاه را بیان می کند. الهیار صالح وزیر دارایی و نماینده مجلس و از رهبران جبهه ملی بود. او با مصدق همکاری داشت.
53268,در این بررسی پس از توضیح چگونگی پیدایش جنگ و معرفی نخستین نمایش جنگی یعنی «زنان صیدا»، تأثیر جنگ بر تئاتر و نمایشنامه های دوران قرون وسطا و کشورهای فرانسه، آلمان، چین و روسیه تحلیل شده است. در ادامه مبحث دفاع مقدس در میان اسطوره های ایرانی همچون: «رستم و اسفندیار»، «آرش کمانگیر» و...، مورد توجه قرار گرفته و منشأ و پیدایش نمایش جنگ در ایران تعیین گردیده است. شایان ذکر است در کتاب خلاصة نمایشنامه «ننه دلاور و فرزندانش» نیز درج شده است.
79524,
54950,جنبش های اجتماعی جدید به رغم تفاوت های ماهوی، جغرافیایی و سیاسی در برخی ویژگی ها مشترکند. این جنبش ها به تعبیر کالین بک در کتاب «رادیکال ها، انقلابی و تروریست ها» دارای «چرخه های حیات» هستند، عموما با آرمان ها و شعارهای مسالمت آمیز ظاهر می شوند. باری تحقق آن ها تلاش می کنند، گاه دچور افول می شوند و درنهایت احتمالا خود را با شرایط نوین بازیابی می کنند. ویسنده با نگاهی روشمند اما روان و مفهوم، تلاش نموده است خواننده را با چرایی و سازوکار تدریجی این تحول آشنا کند.
32925,"کتاب «گردونه روزگار» نوشته ""کریم فیضی"" توسط نشر اطلاعات منتشر شده است. کریم فیضی در تبریز به دنیا آمد. پدرش گرچه هم به شغل فرش‌فروشی اشتغال داشت و هم بخشی از سال را در مزرعه‌ای که در حاشیه تبریز تهیه کرده بود کار می‌کرد، اما گرایش او به عوالم دینی و معنوی و مشغولیت زیاد وی به عبادت و ریاضت، باعث شده بود که به زندگی مادی خویش توجه چندانی نداشته باشد؛ ازاین‌رو خانواده او در تنگنای مالی روزگار می‌گذراندند. ناگفته نماند که روحیات مذهبی پدر در فرزند نیز اثر کرد و او در هر فرصتی که به دست می‌آورد برای تماشای درس و بحث روحانیون به حوزه علمیه بازار تبریز می‌رفت و ساعت‌ها از دور به حرف‌ها و درس‌ها و بحث‌های آنها گوش می‌داد؛ درحالی‌که هنوز ۱۰ سال نداشت."
50572,قرن نوزدهم، متأثر از انقلاب فرانسه که در اواخر قرن هجدهم رخ داد، قرن التهاب بی پایان در قلب اروپا بود. کشورهای مختلف از انگلستان تا آلمان و ایتالیا و فرانسه و مجارستان و ...، همه یک به یک با انقلاب های آزادی خواهانه، ضد سلطنتی، ضد کلیسایی، کارگری و سوسیالیستی روبرو می شدند و روشنفکران بسیاری در همه ی این کشورها یا متأثر از انقلاب بودند یا در آن ها نقش کلیدی داشتند. «گئورگ بوشنر» آلمانی یک از روشنفکران انقلابی نیمه ی اول قرن نوزدهم بود که در 24 سالگی و پس از تبعید بر اثر تیفوس درگذشت. او با وجود عمر بسیار کوتاهش، به دلیل نبوغ سرشارش، تنها با سه نمایشنامه ای که در دوران حیاتش نوشت، یکی از آغازگران نمایشنامه نویسی مدرن است. کتاب «گئورگ بوشنر» نوشته ی «جولیان هیلتون» از سری نمایشنامه نویسان مدرن نشر «شب خیز» به زندگی و آثار این نویسنده ی نابغه پرداخته است. کتاب به خوبی رابطه ی شخصیت و منش بوشنر را با آثاری که نوشته واکاوی می کند و بازتاب عظمت کار او بر جامعه ی پیرامونش را نیز شرح داده و تفسیر می کند. نویسنده ای که تا دو سال پیش از مرگش هیچ نشانه ای از فعالیت تئاتری در او دیده نمی شد، با ناگه با نوشتن نمایشنامه ی «مرگ دانتون»، روزهای پایانی زندگی یکی از بزرگ ترین و مهم ترین انقلابیون فرانسه را با زیرکی و به جهت تشریح، تحلیل و فهم جهان، تفکر و عمل انقلابی، روایت می کند. همان دانتون که پس از انقلابی که خودش در آن نقش کلیدی داشت به دست دوستانش اعدام شد. «جولیان هیلتون» در کتاب «گئورگ بوشنر» دو نمایشنامه ی دیگر او را نیز تجزیه و تحلیل می کند و نشان می دهد که این نویسنده چگونه و چرا به شخصیت های دگراندیش، ناسازگار و متفاوت علاقه داشته و به آنها پرداخته و این مهم در انتخاب قهرمانان هر سه اثرش یعنی «مرگ دانتون»، «ویتسک» و «لئوس و لنا» مشهود است.
37340,در کتاب گوشه هایی از زندگی ابراهیم ادهم ارائه شده است. او یکی از صوفیان معروف زمان خود بود. در این داستان به دیدار ادهم با خضر نبی و سوق دادن وی به تفکر در آفرینش اشاره شده و بر این مطلب که دنیا محل گذر است، تأکید می شود. دوری از غرور نیز یکی دیگر از نکاتی است که در داستان مطرح شده است.
43251,نئورئالیسم، یک شیوه نگرش متمرکز بر انسان است و به عنوان یک جنبش سینمایی با گرایش اجتماعی در تاریخ سینما معرفی می‌شود. این جنبش، با دیدگاه مردم‌محور و به شکوهمندی در معرض تجربه‌ها و رنج‌های انسانی می‌پردازد. «آندره بازن»، یک کارگردان سینمایی با استعداد و پرستار نهضت نئورئالیسم، در دوران پس از پایان جنگ جهانی دوم در ایتالیا متولد شد. این نهضت هنری اصولا قدیمی‌ترین ریشه‌هایی دارد، اما در دهه اول تأسیس خود، با تأثیر بسزایی بر کارگردانان و آثار مهم سینمایی آماده‌سازی کرد. این دهه اول، نام‌هایی چون بونوئل، دوولوس، رنوار، روسلینی، دسیکا، ویسکنتی، زاواتینی، جرمی، مونیچلی و بعدها تا موج نوی سینمای فرانسه، المی، آنتونیونی، پتری، رزی، اوزو، کوروساوا، اوشیما، رای، مرینال سین، ایلماز یونی، برادران تاویانی، وایدا، فورمن، فروغ فرخزاد، مهرجویی، کیارستمی، پناهی، نادری، فرهادی، بحرانی و بسیاری دیگر را در خود جای داد. این کتاب به بررسی ریشه‌ها، سبک، دیدگاه و تاریخ اولین دهه این جنبش هنری بزرگ می‌پردازد.
96777,- تاریخ واژه ای است که به دانش و اطلاعات درباره ی گذشته اشاره دارد و به نوعی تاریخ دانش گذشتگان و عبرتی برای آینده است. امروزه تاریخ به عنوان شاخه ای از علوم اجتماعی در نظر گرفته می شود و به خصوص زمانی که تاکید بر روی مبحث سالشمار - کرونولوژی - باشد.کرونولوژی که در فارسی آن را روزشمار، سالشمار یا تقویم تاریخ گویند به عنوان یک علم از دوره های قرون وسطی، رنسانس و باروک مورد توجه بوده است. بسیاری از نوشته های تاریخی به جا مانده از آن ادوار در واقع همان سالشماری به معنای تخصیص رخدادها به تاریخ زمانی آن ها می باشد و...
15615,غزلیات و «دیوان شمس تبریزی» (یا دیوان کبیر)، محبوبیت فراوانی کسب کرده اند. درصد ناچیزی از این غزلیات به زبان های یونانی و عربی و ترکی است و عمده غزلیات موجود در این دیوان به فارسی سروده شده اند. به علاوه بیش از سی و پنج هزار بیت به فارسی، او حدود هزار بیت به عربی و کمتر از دویست بیت (اغلب به ملمع فارسی-ترکی یا فارسی-یوانی) به ترکی و یونانی (جمعا کمتر از یک سوم از یک درصد اشعارش) در این دیوان دارد.
39349,آیا با نا امیدی، اضطراب یا عصبانیت دست و پنجه نرم می کنید؟ خبر خوب این که: این احساسات ناشی از عبور افکار شما هستند. خبر عالی این که: شما با افکار خود یکی نیستید. خبر خارق العاده این که: می توانید یاد بگیرید که چگونه افکار خود را به شکل موثری زیر سوال ببرید و ذهن خود را آزاد کنید و...
17276,راوی کتاب که همراه خانواده اش در حاشیه نشین «پشت فرودگاه رشت»، زندگی می کند، متناسب با شرایط محله و فقر فرهنگی، اقتصادی و اجتماعی که در آن موج می زند، تربیت شده است. او در هر داستان با زبانی طنز به روایت ماجراهایی که با آدم های مختلف محله از هفت تا بیست و سه سالگی گذرانده است، می پردازد.
15616,کتاب پس از پیشگفتاری که حکم دیباچه دارد و در آن اندیشه و سبب تألیف کتاب و نیز روش کار توضیح داده شده است، وارد مقدّمه ای سه بخشی می شود: بخش نخست درباره نظم ساختاری و مضمون نامه هاست که در آن نامه های مولانا از حیث صورت و محتوا تجزیه و تحلیل شده است؛ در بخش دوم، فواید زبانی و ادبی نامه ها (اعم از نکات دستوری و واژگانی و آرایه های ادبی و...) تحلیل و بررسی شده است؛ و در بخش سوم نیز با تحلیل اجتماعی نامه ها فواید آن ها در شناخت اوضاع و احوال جامعه پیرامون مولانا در قونیه قرن هفتم بازنموده شده است. پس از این مقدمه صدوسی صفحه ای، بدنه اصلی کتاب، یعنی شصت و پنج نامه گزیده از مکتوبات، آمده است که در ذیل هر نامه معنای واژه ها و عبارات و اشعار فارسی و عربی و آیات و احادیث مندرج در نامه ها توضیح داده و ترجمه شده اند.
24689,مردی گمان می برد همسر جوانش به وی وفادار نبوده و تصمیم می گیرد برای تلافی و جبران احساس صداقت، همان معامله را با زن بکند. مرد به سختی عذاب می کشد اما سعی دارد با توجیه هایی هم چون این که: بهار تمام حقوق خویش را خرج دیگری می کند، مدت ها با تلفن حرف می زند، بوی عطرهای ناآشنا از لباسش به مشام می رسد و.... خود را قانع کند. هنگامی که دیگر منجلاب، همۀ وجودش را فراگرفته، درمی یابد که در تمام این مدت، بهار نازنین اش سعی داشته او را با یک مهمانی جشن تولد، غافلگیر کند. اما بهار رفته و تنها دلتنگی و پشیمانی برجای مانده است. این کتاب دربردارندۀ 9 داستان کوتاه تحت پاره ای از این عناوین است: صبح روز هفتم؛ خیانت؛ مردی که می خواهد تصمیمی بگیرد؛ ایثار؛ و نامه.
28941,فرانک کسلر، در این کتاب استفاده از واژه ی میزانسن را رده بندی می کند. یک بررسی طبقه بندی شده از خاستگاه آن در حلقه های تئاتر قرن نوزدهم و عبور از نظریات نویسندگی و نقد فیلم فرانسوی که در دهه ی پنجاه و شصت میلادی شناخته شد تا امروز که به توصیف جایگاه میزانسن در چشم انداز سینمای دیجیتال معاصر می پردازد. این کتاب شیوه های گوناگونی را که میزانسن در نوشتارهای مربوط به فیلم و سینما ظاهر می شود، حلاجی کرده است و همچنین تمرینات مختلف میزانسن و روش هایی را که به وسیله ی آن مفهوم سازی شده مورد بررسی قرار می دهد. شیوه ی سه جانبه ی کسلر که در آن میزانسن را از دیدگاه تاریخی، نظری و عملی زیر ذره بین برده، شکاف بزرگی را که از این مفهوم در ادبیات سینمایی وجود داشته، پر می کند. عبارت فرانسوی میزانسن مترادف یک واژه ی انگلیسی به معنای صحنه آرایی است که تمام موارد مربوط به آوردن یک نمایش روی صحنه را شامل می شود. بنابراین در زمانی که سلسله مراتب فرهنگی در قرن نوزدهم فرانسه، متن و نحوه ی بیان و ارائه ی آن را بر دیگر عناصر نمایش ارجحیت می دادند، صرف توجه به نقش میزانسن در اجرای یک نمایش، نشان می دهد که سلسله مراتب به آسانی قابل برگشت هستد. آنگاه که صحنه آرایی به جای اینکه بازتولید یک اثر نگارشی محسوب شود، تفسیری از متن نگارش شده در نظر گرفته شد، این میزانسن بود که به عنوان اولین و برجسته ترین ابزار آفرینش هنری شناخته شد. در نتیجه نویسنده ی متن، دیگر تنها آفریننده ی اثر هنری تئاتر نبود.
